modelos,AIP,MIDA,MINIP,MIP,RAYCASTING
0543_pulmao.ply,60.9111838341,60.1510360241,60.2090570927,60.0381369591,60.7765991688
MANIX_cortado.ply,60.2548658848,60.2973539829,59.7609190941,59.9358341694,60.6521031857
MANIX_cortado_50000.ply,72.1346740723,75.7426609993,71.7761800289,72.0866341591,71.9854750633
TOUTATIX_cortado.ply,65.5364627838,65.2754659653,65.2767720222,64.6762158871,65.3072531223
cerebro_metade.ply,67.3725409508,65.7076730728,65.4388530254,66.1172089577,65.343693018
